0:0:3.382242590 0:0:3.803749784
0:0:3.381916745 0:0:3.803790428
0:0:3.449367209 0:0:3.903867640
0:0:3.398953722 0:0:3.820424908
0:0:3.658673420 0:0:4.080667578
0:0:3.450751033 0:0:3.871801694
0:0:3.487615077 0:0:3.908990236
0:0:3.421479604 0:0:3.843022203
0:0:3.534423786 0:0:3.955893451
0:0:3.362527522 0:0:3.788813064
