0:0:2.561170643 0:0:2.923330217
0:0:2.086668524 0:0:2.452847551
0:0:2.130575813 0:0:2.500773669
0:0:2.218577592 0:0:2.600814931
0:0:2.118618674 0:0:2.485872284
0:0:2.286353164 0:0:2.658943289
0:0:1.966880388 0:0:2.332712644
0:0:1.825995082 0:0:2.195431948
0:0:2.415764489 0:0:2.781667101
0:0:1.989486954 0:0:2.355310868
