0:0:4.321648773 0:0:4.582933404
0:0:1.569184645 0:0:1.823733269
0:0:1.507268207 0:0:1.761214676
0:0:1.316028165 0:0:1.566371572
0:0:1.305604283 0:0:1.558198021
0:0:1.494029443 0:0:1.750601643
0:0:1.483955775 0:0:1.742078789
0:0:1.357328302 0:0:1.609543415
0:0:1.311353168 0:0:1.568057090
0:0:1.291822540 0:0:1.544136980
