0:0:2.137081306 0:0:2.315669426
0:0:2.381403076 0:0:2.564389935
0:0:2.510650544 0:0:2.694446897
0:0:2.117466114 0:0:2.298231872
0:0:2.218258252 0:0:2.396987083
0:0:2.465901340 0:0:2.649326048
0:0:2.095396006 0:0:2.276431827
0:0:2.402532242 0:0:2.588677815
0:0:2.376506544 0:0:2.557031910
0:0:1.497381916 0:0:1.677722011


0:0:2.154186439 0:0:2.333562544
0:0:2.149645731 0:0:2.326921805
0:0:2.684538193 0:0:2.860675795
0:0:2.220565617 0:0:2.395277769
