0:0:1.374868110 0:0:1.722680126
0:0:1.367931839 0:0:1.714761703
0:0:1.368945926 0:0:1.719311828
0:0:1.346439655 0:0:1.692597702
0:0:1.367828326 0:0:1.716718908
0:0:1.309994972 0:0:1.662061741
0:0:1.361525650 0:0:1.709737076
0:0:1.530061605 0:0:1.879138289
0:0:1.502958303 0:0:1.849398632
0:0:1.387999709 0:0:1.770183169
