0:0:1.311770800 0:0:1.657558132
0:0:1.231333246 0:0:1.575163814
0:0:1.360187898 0:0:1.707342793
0:0:1.501332598 0:0:1.844857183
0:0:1.505559476 0:0:1.849034753
0:0:1.254240527 0:0:1.599084636
0:0:1.354168565 0:0:1.701441365
0:0:1.328610862 0:0:1.675182844
0:0:1.347129001 0:0:1.689212806
0:0:1.264773278 0:0:1.608448606
