0:0:1.186643895 0:0:1.259809266
0:0:1.225263587 0:0:1.311508063
0:0:1.184249911 0:0:1.267627338
0:0:1.193465159 0:0:1.283936594
0:0:1.175723419 0:0:1.268414277
0:0:1.226625712 0:0:1.274317965
0:0:1.194492121 0:0:1.282878823
0:0:1.248424738 0:0:1.334707652
0:0:1.265914784 0:0:1.335851299
0:0:1.234780514 0:0:1.289610136
