0:0:2.184613190 0:0:2.473413221
0:0:2.425685760 0:0:2.515154753
0:0:2.240455716 0:0:2.435311111
0:0:1.864600249 0:0:2.463624180
0:0:2.275249955 0:0:2.495709968
0:0:2.289724455 0:0:2.498763587
0:0:2.221686542 0:0:2.467959858
0:0:2.291920843 0:0:2.465561373
0:0:2.335003908 0:0:2.491839955
0:0:2.354110256 0:0:2.509462602
