0:0:1.367556796 0:0:1.513593879
0:0:1.375060184 0:0:1.568062242
0:0:1.344134431 0:0:1.506429850
0:0:1.421133153 0:0:1.778754784
0:0:1.417288732 0:0:1.594640602
0:0:1.404436199 0:0:1.550804153
0:0:1.415927153 0:0:1.551900078
0:0:1.414427555 0:0:1.696132043
0:0:1.398742065 0:0:1.650623153
0:0:1.330497771 0:0:1.473579159
