0:0:1.537326584 0:0:3.831577011
0:0:3.498693332 0:0:4.041357278
0:0:3.583031700 0:0:4.215750708
0:0:3.887390777 0:0:4.239731785
0:0:2.927492012 0:0:3.970912669
0:0:2.704374458 0:0:4.381699504
0:0:2.504992580 0:0:4.083265767
0:0:1.489613203 0:0:3.948432951
0:0:2.481193851 0:0:3.839132294
0:0:1.591234011 0:0:3.900749403
