0:0:1.980555693 0:0:3.493122275
0:0:1.819147013 0:0:3.967118548
0:0:1.760279612 0:0:3.441523212
0:0:1.886094691 0:0:3.439554357
0:0:1.869650508 0:0:3.690789289
0:0:1.979584283 0:0:3.446657784
0:0:2.685936174 0:0:3.663302859
0:0:2.350455767 0:0:3.802272844
0:0:2.708034109 0:0:3.914562556
0:0:1.745954840 0:0:3.472324962
