0:0:2.081983033 0:0:6.186212820
0:0:2.646618345 0:0:5.871276855
0:0:2.233635928 0:0:5.740498836
0:0:2.231138528 0:0:7.007612411
0:0:2.124522162 0:0:6.349936038
0:0:2.277047903 0:0:5.798364104
0:0:2.298003609 0:0:5.878394154
0:0:2.249059033 0:0:6.006381386
0:0:4.343663929 0:0:6.930831699
0:0:2.590386053 0:0:6.425896876
