0:0:1.443651208 0:0:1.709815173
0:0:1.478743094 0:0:1.641966287
0:0:1.466759024 0:0:1.738439198
0:0:1.443547724 0:0:1.607927939
0:0:1.407006205 0:0:1.646663079
0:0:1.465971335 0:0:1.672780183
0:0:1.435949453 0:0:1.614795916
0:0:1.439614522 0:0:1.612870563
0:0:1.475732933 0:0:1.657809204
0:0:1.463473730 0:0:1.665056886
