0:0:1.299531414 0:0:2.881902660
0:0:1.191897090 0:0:1.433288149
0:0:1.220880188 0:0:1.376190447
0:0:1.170083601 0:0:1.259835341
0:0:1.152463147 0:0:1.292711025
0:0:1.149102226 0:0:1.264161486
0:0:1.169444576 0:0:1.338398738
0:0:1.201131619 0:0:1.491955485
0:0:1.144878971 0:0:1.247367045
0:0:1.149582911 0:0:1.382089781
