0:0:2.153964614 0:0:5.274636144
0:0:1.825111844 0:0:5.456614290
0:0:1.807240996 0:0:5.359993362
0:0:1.763672558 0:0:5.318616030
0:0:1.665658701 0:0:5.658511614
0:0:1.693274017 0:0:5.528768111
0:0:1.630654134 0:0:5.752970188
0:0:1.665096828 0:0:4.883739362
0:0:1.514833159 0:0:4.905366390
0:0:1.646180201 0:0:4.535041684
