0:0:1.671578555 0:0:1.939883279
0:0:1.645285623 0:0:1.888842331
0:0:1.628753385 0:0:1.994619196
0:0:1.638222949 0:0:1.881120198
0:0:1.603718911 0:0:1.993552925
0:0:1.672207721 0:0:2.000334146
0:0:1.654068791 0:0:2.041950255
0:0:1.891957272 0:0:2.384594131
0:0:1.729725818 0:0:2.058731988
0:0:1.643630650 0:0:1.952056170
