0:0:1.942845609 0:0:2.523088730
0:0:1.944487249 0:0:2.587736729
0:0:1.880241459 0:0:2.618749319
0:0:1.902137976 0:0:2.865102840
0:0:2.241048372 0:0:3.334101574
0:0:1.854289748 0:0:2.669245722
0:0:1.835868843 0:0:2.726373940
0:0:1.903986467 0:0:2.947187036
0:0:2.025831957 0:0:2.700244849
0:0:1.868198054 0:0:2.682737064
