0:0:1.990936950 0:0:2.681550605
0:0:2.155095563 0:0:2.610255716
0:0:2.591120547
0:0:2.230096713 0:0:2.758369341
0:0:2.100716048 0:0:2.663575942
0:0:2.487988534 0:0:2.748662467
0:0:2.661936504 0:0:3.295894296
0:0:2.814269882 0:0:3.667010604
0:0:2.294499479 0:0:3.760238446
0:0:2.601214245 0:0:3.376835194
