0:0:2.017475422 0:0:2.651971293
0:0:1.734599894 0:0:3.033771106
0:0:2.956312662 0:0:3.377079235
0:0:2.127368839 0:0:3.370756990
0:0:2.243999970 0:0:3.738981497
0:0:2.341082679 0:0:3.800845644
0:0:2.569444825 0:0:3.433442512
0:0:2.615738251 0:0:3.546946875
0:0:2.405687404 0:0:3.193803289
0:0:2.416282056 0:0:3.017324127
