0:0:2.686688448 0:0:3.734630195
0:0:2.172811160 0:0:2.681332150
0:0:2.138679501 0:0:2.629217584
0:0:1.934647743 0:0:2.960436212
0:0:2.114295152 0:0:2.848445402
0:0:2.040799611 0:0:2.543856734
0:0:2.035647542 0:0:2.463988958
0:0:2.147212433 0:0:2.971451071
0:0:2.275507760 0:0:2.956963555
0:0:2.739313511 0:0:3.351514041
