0:0:2.534030353 0:0:5.922297102
0:0:1.910678547 0:0:5.346871090
0:0:2.187361995 0:0:5.722751905
0:0:2.083875120 0:0:5.453745040
0:0:2.099069802 0:0:5.451403030
0:0:1.978219811 0:0:5.631795637
0:0:1.967787077 0:0:5.059049681
0:0:1.862102927 0:0:5.524637003
0:0:1.788483351 0:0:4.976518623
0:0:1.778647578 0:0:4.875836378
